source_serial_no,gasoline_pct,ethanol_pct,pentanol_pct,propanol_pct,butanol_pct,n_methylaniline_pct,torque_nm,speed_rpm,compression_ratio,cv_mj_kg,air_fuel_ratio,viscosity_m2_s,ron,oxygen_pct,bte_pct,bsfc_g_kwh,co_vol_pct,hc_ppm,source_excel_row,quarantine_reason,composition_sum_original_pct,composition_sum_pct,blend_group
426.0,96.5,0.0,3.5,0.0,3.5,0.0,1.98,1700.0,5.5,41.833,14.32,7.5e-07,97.19,3.9349,4.178324250168492,1610.169491525424,1.3349999999999997,642.0,447,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
427.0,96.5,0.0,3.5,0.0,3.5,0.0,4.01,2100.0,5.5,41.833,14.15,7.5e-07,97.19,3.9349,7.534257729243001,925.0000000000001,1.5489999999999997,461.0,448,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
428.0,96.5,0.0,3.5,0.0,3.5,0.0,6.01,2500.0,5.5,41.833,14.32,7.5e-07,97.19,3.9349,10.309418780084776,715.0837988826815,1.652,442.0,449,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
429.0,96.5,0.0,3.5,0.0,3.5,0.0,6.97,2900.0,5.5,41.833,14.87,7.5e-07,97.19,3.9349,10.898220329558395,685.9903381642513,1.976,312.0,450,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
430.0,96.5,0.0,3.5,0.0,3.5,0.0,8.0,3300.0,5.5,41.833,14.69,7.5e-07,97.19,3.9349,12.366086762255595,638.2978723404254,2.5069999999999997,263.0,451,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
431.0,96.5,0.0,3.5,0.0,3.5,0.0,1.97,1700.0,6.5,41.833,14.73,7.5e-07,97.19,3.9349,4.351203878127812,1576.271186440678,1.2176599999999995,627.0,452,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
432.0,96.5,0.0,3.5,0.0,3.5,0.0,4.02,2100.0,6.5,41.833,14.29,7.5e-07,97.19,3.9349,7.67992592060413,891.6666666666667,1.4316599999999995,455.0,453,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
433.0,96.5,0.0,3.5,0.0,3.5,0.0,6.05,2500.0,6.5,41.833,14.7,7.5e-07,97.19,3.9349,10.426266254759682,701.6574585635359,1.6206599999999995,418.0,454,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
434.0,96.5,0.0,3.5,0.0,3.5,0.0,6.98,2900.0,6.5,41.833,15.26,7.5e-07,97.19,3.9349,11.184639701127953,676.328502415459,1.8235,408.0,455,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
435.0,96.5,0.0,3.5,0.0,3.5,0.0,8.0,3300.0,6.5,41.833,15.23,7.5e-07,97.19,3.9349,12.391284267137417,629.7872340425532,2.3896599999999992,250.0,456,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
436.0,96.5,0.0,3.5,0.0,3.5,0.0,1.96,1700.0,7.5,41.833,14.4,7.5e-07,97.19,3.9349,4.436879307200451,1559.322033898305,1.1111399999999994,591.0,457,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
437.0,96.5,0.0,3.5,0.0,3.5,0.0,3.96,2100.0,7.5,41.833,14.46,7.5e-07,97.19,3.9349,7.65775093714474,873.9495798319329,1.3251399999999993,380.0,458,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
438.0,96.5,0.0,3.5,0.0,3.5,0.0,5.98,2500.0,7.5,41.833,14.13,7.5e-07,97.19,3.9349,10.40399764661565,685.3932584269663,1.5543,358.0,459,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
439.0,96.5,0.0,3.5,0.0,3.5,0.0,6.99,2900.0,7.5,41.833,14.2,7.5e-07,97.19,3.9349,11.422520561410124,661.8357487922706,1.7521399999999991,303.0,460,fuel_composition_not_within_99.99_to_100.01_pct,103.5,,
